Source	Author	Title	Description	PublishedAt	URL	coding	coverage
Fortune	Brit Morse	CEOs including Satya Nadella and Sam Altman are lining up to congratulate Donald Trump on his election victory	CEOs and business leaders took to social media to congratulate President-elect Donald Trump on his second White House victory.	2024-11-06T18:56:28Z	https://fortune.com/2024/11/06/ceos-business-leaders-congratulate-donald-trump-presidenial-election-satya-nadella-sam-altman/	Cultural Impact	Neutral
CNET	Thomas Kika	What the 2024 Election Results Mean for the Child Tax Credit	President-elect Donald Trump's campaign floated some general ideas about expanding the child tax credit.	2024-11-14T21:00:00Z	https://www.cnet.com/personal-finance/taxes/what-the-2024-election-results-mean-for-the-child-tax-credit/	Policies	Negative
NBC News	Erika Edwards	Will fluoride go away when Trump takes office?	"Fluoride could be removed from public water systems under the influence of one of President-elect Donald Trump’s advisers, Robert F. Kennedy Jr."	2024-11-07T23:18:40Z	https://www.nbcnews.com/health/health-news/will-fluoride-go-away-trump-takes-office-rcna179002	Policies	Negative
Newsweek	https://www.facebook.com/jennifinkink/	"Donald Trump Wins Iowa, Networks project"	A shocking Iowa poll showed Harris winning the state days before the election.	2024-11-06T03:33:22Z	https://www.newsweek.com/donald-trump-wins-iowa-nbc-news-projects-1981032	Polling	Neutral
New York Magazine	Jonathan Chait	Trump’s ‘Unprecedented and Powerful Mandate’ Is a Lie	Donald Trump called his historically narrow election ‘an unprecedented and powerful mandate.’ Republicans are browbeating Democrats with demands to withhold opposition in the name of ‘social peace.’ But Trump is bent on revenge.	2024-11-07T14:44:28Z	http://nymag.com/intelligencer/article/trumps-unprecedented-and-powerful-mandate-is-a-lie.html	Election	Negative
CBC News		Former U.S. commerce secretary says he 'can't imagine' Trump would tax Canadian energy	"Donald Trump's former commerce secretary says he 'can't imagine' the U.S. president-elect would want to tax Canadian energy, despite campaign promises about imposing a global tariff when he takes office in January."	2024-11-10T20:26:01Z	https://www.cbc.ca/news/politics/former-u-s-commerce-secretary-says-he-can-t-imagine-trump-would-tax-canadian-energy-1.7379880	Policies	Neutral
Fortune	Lila MacLellan	The 63 jobs that make it easier to move to Canada	"As former president Donald Trump returns to power, more Americans who worry about a future under him may look north."	2024-11-06T16:07:54Z	https://fortune.com/2024/11/06/moving-to-canada-63-job-types-easier/	Cultural Impact	Neutral
USA Today	"Aysha Bagchi, USA TODAY"	'I'm not that close to 80': Trump on defense on age ahead of visit to Steelers game	Donald Trump defended himself against attacks on his age at a town hall event in Pennsylvania with just over two weeks left until the election.	2024-10-21T00:50:16Z	https://www.usatoday.com/story/news/politics/elections/2024/10/20/trump-lancaster-pennsylvania-town-hall-steelers/75767714007/	Election	Neutral
Buzzfeed	Ashley Holt	"Elizabeth Warren's Tweet About Trump ""Breaking The Law"" Is Backfiring Because People Want Elected Officials To Do More Than Tweet About It"	"""The people that put all of you Democrats in office are expecting ACTION for once!!""View Entire Post ›"	2024-11-14T17:13:11Z	https://www.buzzfeed.com/ashleyholt1/elizabeth-warren-trump-cabinet-tweet	Cultural Impact	Neutral
NBC News	Elizabeth Both	Trump rally overshadowed by comedian's racist remarks and Quarter Pounder is back: Morning Rundown	Donald Trump headlines a rally in Madison Square Garden after racist and crude remarks from his allies.	2024-10-28T11:08:44Z	https://www.nbcnews.com/news/vitriol-takes-trumps-rally-mcdonalds-quarter-pounder-morning-rundown-rcna177544	Cultural Impact	Negative
CBC News		Is Trump's victory also a win for billionaire backer Elon Musk?	Billionaire Elon Musk could stand to gain after he went all in to help U.S. president-elect Donald Trump make one of the biggest political comebacks in history.	2024-11-06T20:17:37Z	https://www.cbc.ca/news/world/trump-musk-us-election-1.7375595	Cultural Impact	Neutral
Financial Post	Bloomberg News	Charting the Global Economy: Trump Win Reverberates Around the World	Donald Trump’s decisive win of the US presidential election has world leaders already preparing for how his next administration will shape the global economy.	2024-11-09T10:20:29Z	https://financialpost.com/pmn/business-pmn/charting-the-global-economy-trump-win-reverberates-around-the-world	Economy	Neutral
ABC News	"Gabriella Abdul-Hakim, Fritz Farrow, Will McDuffie"	Harris to have moderated conversations with Liz Cheney in 3 battleground states	"Vice President Kamala Harris will do a series of moderated conversations with former Rep. Liz Cheney in the battleground states of Pennsylvania, Michigan and Wisconsin."	2024-10-21T15:22:50Z	https://abcnews.go.com/Politics/harris-moderated-conversations-liz-cheney-3-battleground-states/story?id=114990344	Election	Negative
CBC News		"Who is Susie Wiles, Trump's new chief of staff?"	"Donald Trump has announced that Susie Wiles, the manager of his successful campaign for the White House, will be his chief of staff, bringing the veteran Republican strategist and long-time Trump ally out from behind the scenes and into the hot seat."	2024-11-09T00:46:30Z	https://www.cbc.ca/news/world/susie-wiles-trump-1.7379066	Election	Negative
Newsweek	Rachel Dobkin	Brian Cox Slams Donald Trump: 'Monster'	"The actor said on a U.K. broadcast that Trump ""wants to be a dictator"" ahead of the Republican's 2024 U.S. presidential election win."	2024-11-06T18:32:28Z	https://www.newsweek.com/brian-cox-succession-donald-trump-monster-2024-election-1981544	Cultural Impact	Negative
Time	Phillip Elliott / Detroit	Harris Urges Detroit to ‘Break Some Records’ as Early Vote Begins in Critical Michigan	Kamala Harris was joined by Lizzo for a rally in Detroit a day after Trump struggled with mic troubles in his own Detroit rally	2024-10-19T20:11:58Z	https://time.com/7095205/kamala-harris-lizzo-detroit/	Election	Positive
CBS News	CBS News	When will Donald Trump be sworn into office?	It will be several months before President-elect Donald Trump takes office. Here's what to know about when he will be sworn in as the 47th president of the United States.	2024-11-07T16:22:00Z	https://www.cbsnews.com/video/when-will-donald-trump-be-sworn-into-office/	Election	Neutral
Daily Beast	AJ McDougall	‘60 Minutes’ Issues Searing Statement Refuting ‘False’ Trump	"In addition to its regularly scheduled programming, 60 Minutes on Sunday provided a little something extra: A note to viewers.The famed CBS newsmagazine..."	2024-10-21T02:36:15Z	https://www.thedailybeast.com/60-minutes-issues-searing-statement-refuting-false-trump/	Cultural Impact	Negative
Buzzfeed	Morgan Sloss	People Are Pointing Out The Hypocrisy Of Donald Trump Being Elected President With 34 Felonies	"""If you can be the President of the United States, you should not be prevented from employment in this country.""View Entire Post ›"	2024-11-07T23:08:11Z	https://www.buzzfeed.com/morgansloss1/trump-convicted-felon-hypocrisy-reactions	Cultural Impact	Positive
Business Insider	"abharade@insider.com (Aditi Bharade,Kwan Wei Kevin Tan)"	"Trump flip-flopped on crypto, but his PAC has raked in millions of dollars of crypto donations since June"	The former president has positioned himself as the pro-crypto candidate this election cycle. But he hasn't always had nice things to say about crypto.	2024-10-16T09:44:31Z	https://www.businessinsider.com/trump-pac-raised-millions-crypto-donations-since-june-2024-10	Economy	Negative
Business Insider	Dan DeFrancesco	An incoming 'M&A supercycle' wouldn't just be a win for dealmakers	"Goldman Sachs' earnings hint at the revival of the M&A market, which could help companies big and small."	2024-10-16T11:33:31Z	https://www.businessinsider.com/goldman-sachs-earnings-dealmaking-benefit-economy-2024-10	Economy	Positive
Financial Post	Financial Times	Donald Trump on brink of U.S. election victory after winning critical battlegrounds	Donald Trump is on the brink of a commanding victory over Kamala Harris in the 2024 United States presidential election. Read more	2024-11-06T10:47:27Z	https://financialpost.com/financial-times/donald-trump-on-brink-u-s-election-victory	Polling	Positive
Gizmodo.com	Matthew Gault	Elon Musk Is Trying to Be the MrBeast of Politics	The billionaire is giving away $1 million a day to registered voters. The lottery is the next evolution of politics as entertainment in America.	2024-10-21T14:15:17Z	https://gizmodo.com/elon-musk-is-trying-to-be-the-mrbeast-of-politics-2000514361	Election	Neutral
CBS News	Patrick Maguire	Why Trump can vote in the 2024 election even after his felony conviction	"Former President Donald Trump cast his ballot in Palm Beach, Florida, in the 2024 presidential election."	2024-11-05T18:07:20Z	https://www.cbsnews.com/news/can-donald-trump-vote-2024/	Cultural Impact	Negative
NBC News	"Kevin Breuninger, CNBC"	Trump Media shares halted repeatedly as DJT whipsaws in volatile trading	Trading of Trump Media shares was halted for volatility multiple times Tuesday morning as the company majority owned by Donald Trump ricocheted in early trading.	2024-10-29T16:55:14Z	https://www.nbcnews.com/business/markets/trump-media-shares-halted-repeatedly-djt-whipsaws-volatile-trading-rcna177836	Economy	Negative
Newsweek	Theo Burman	Donald Trump Is Winning the Podcast Election	"Both Donald Trump and Kamala Harris have embraced the use of podcasts and influencers as ways to reach new audiences, but Trump's team is doing it more."	2024-10-16T14:10:05Z	https://www.newsweek.com/donald-trump-winning-podcast-election-1969198	Election	Neutral
Fox News	Yael Halon	Social media explodes with memes celebrating Trump victory	Trump supporters rushed to share their favorite memes on social media Wednesday after President Trump was declared the winner of the 2024 presidential election.	2024-11-06T22:30:39Z	https://www.foxnews.com/media/trump-supporters-flood-social-media-memes-celebrating-trump-victory	Cultural Impact	Neutral
ABC News	"Soo Rin Kim, Lalee Ibssa, Kelsey Walsh"	Democrat's joint fundraising outpaces Republicans	"Vice President Harris and the Democrats have dwarfed former President Trump and the Republicans in joint fundraising in the last three months, filings show."	2024-10-16T08:15:53Z	https://abcnews.go.com/US/democrats-joint-fundraising-doubles-republicans-3-months-filings/story?id=114843249	Election	Negative
Financial Post	Bloomberg News	Scotiabank economist warns Trump win would bring 'ruinous' policies	"A Donald Trump win would likely bring extreme protectionism, population shock and a debt surge, a Scotiabank economist warns. Read on."	2024-10-28T16:09:35Z	https://financialpost.com/news/scotiabank-trump-ruinous-policy	Economy	Negative
ABC News	"Kelsey Walsh, Soo Rin Kim, Lalee Ibssa"	Trump calls himself 'father of IVF' in all-women town hall with Fox News	"Former President Donald Trump sat down with Fox News' Harris Faulkner on Tuesday night in front of an all-female audience in Cummings, Georgia."	2024-10-16T19:39:07Z	https://abcnews.go.com/Politics/trump-calls-father-ivf-women-town-hall-fox/story?id=114853544	Election	Neutral
New York Magazine	Nia Prater	What’s Going On Between Donald Trump and Eric Adams?	Former president Donald Trump has compared his legal troubles to Eric Adams’s in comments that the mayor has opted not to directly disavow.	2024-10-23T15:34:09Z	http://nymag.com/intelligencer/article/whats-going-on-between-donald-trump-and-eric-adams.html	Cultural Impact	Negative
NPR	Stephen Fowler	Trump and Harris' closing message to Republicans are as different as they come	"With two weeks to go until voting closes on Election Day, former President Donald Trump and Vice President Harris made two separate but equally important pitches to Republicans on the campaign trail Monday."	2024-10-22T03:05:45Z	https://www.npr.org/2024/10/21/g-s1-29273/kamala-harris-liz-cheney-donald-trump-election-north-carolina-blue-wall	Election	Negative
NBC News	Megan Lebowitz	"Trump’s legal team tried to keep Stormy Daniels quiet ahead of 2024 election, MSNBC reports"	"Former President Donald Trump this summer offered a financial incentive to adult film star Stormy Daniels if she agreed to keep quiet about Trump ahead of this November’s election, MSNBC’s Rachel Maddow reported on Wednesday."	2024-10-17T08:56:17Z	https://www.nbcnews.com/politics/2024-election/trumps-legal-team-tried-keep-stormy-daniels-quiet-ahead-2024-election-rcna175828	Election	Positive
